Υποκατηγορία,Brand,SKU,Column1,Περιγραφή webApp,Σύντομη περιγραφή,Concat,Περιγραφή,Mount,Pitch,Gauge,links,length cm,"length """,group_key,OwnProduct,Πωλήσεις (τμχ.)
Αλυσίδες Ρολλά,Archer,,321B050-100R,"B-050 (STANDARD) .325”-.050”-1,3mm SEMI CHISEL",,,"B-050 (STANDARD) .325”-.050”-1,3mm SEMI CHISEL",,.325,1.3,1840.0,,,.325-1.3-1840,0.0,
Αλυσίδες Ρολλά,Archer,,321B058-100R,"B-058 (STANDARD) .325”-.058”-1,5mm SEMI CHISEL",,,"B-058 (STANDARD) .325”-.058”-1,5mm SEMI CHISEL",,.325,1.5,1840.0,,,.325-1.5-1840,0.0,
Αλυσίδες Ρολλά,Archer,,321B063-100R,B-063 (STANDARD) .325”-.063”-1.6mm SEMI CHISEL,,,B-063 (STANDARD) .325”-.063”-1.6mm SEMI CHISEL,,.325,1.6,1840.0,,,.325-1.6-1840,0.0,
Αλυσίδες Ρολλά,Archer,,321FCB050-100R,"FCB-050 .325”-.050”-1,3mm CHISEL",,,"FCB-050 .325”-.050”-1,3mm CHISEL",,.325,1.3,1840.0,,,.325-1.3-1840,0.0,
Αλυσίδες Ρολλά,Archer,,321FCB058-100R,"FCB-058 .325”-.058”-1,5mm CHISEL",,,"FCB-058 .325”-.058”-1,5mm CHISEL",,.325,1.5,1840.0,,,.325-1.5-1840,0.0,
Αλυσίδες Ρολλά,Archer,,321FCB063-100R,FCB-063 .325”-.063”-1.6mm CHISEL,,,FCB-063 .325”-.063”-1.6mm CHISEL,,.325,1.6,1840.0,,,.325-1.6-1840,0.0,
Αλυσίδες Ρολλά,Hyundai,,HSCR20s,"HYUNDAI ΣΕ ΡΟΛΛΑ HSCR20s, .325”, 1,3, 1848 (2τεμ)",,,"HYUNDAI ΣΕ ΡΟΛΛΑ HSCR20s, .325”, 1,3, 1848 (2τεμ)",,.325,1.3,1848.0,3048.0,1200.0,.325-1.3-1848,0.0,
Αλυσίδες Ρολλά,Hyundai,,HSCR21s,"HYUNDAI ΣΕ ΡΟΛΛΑ HSCR21s, .325”, 1,5, 1848 (2τεμ)",,,"HYUNDAI ΣΕ ΡΟΛΛΑ HSCR21s, .325”, 1,5, 1848 (2τεμ)",,.325,1.5,1848.0,3048.0,1200.0,.325-1.5-1848,0.0,
Αλυσίδες Ρολλά,Hyundai,,HSCR22s,"HYUNDAI ΣΕ ΡΟΛΛΑ HSCR22s, .325”, 1,6, 1848 (2τεμ)",,,"HYUNDAI ΣΕ ΡΟΛΛΑ HSCR22s, .325”, 1,6, 1848 (2τεμ)",,.325,1.6,1848.0,3048.0,1200.0,.325-1.6-1848,0.0,
Αλυσίδες Ρολλά,Archer,,321NKB050-100R,"NKB-050 (ΜΙΝΙ) .325”-.050”-1,3mm SEMI CHISEL",,,"NKB-050 (ΜΙΝΙ) .325”-.050”-1,3mm SEMI CHISEL",,.325,1.3,1840.0,,,.325-1.3-1840,0.0,
Αλυσίδες Ρολλά,Archer,,321TB050-100R,"TB-050 (STANDARD) .325”-.050”-1,3mm SEMI CHISEL",,,"TB-050 (STANDARD) .325”-.050”-1,3mm SEMI CHISEL",,.325,1.3,1840.0,,,.325-1.3-1840,0.0,
Αλυσίδες Ρολλά,Archer,,321ΤΒ058-100R,"TB-058 (STANDARD) .325”-.058”-1,5mm SEMI CHISEL",,,"TB-058 (STANDARD) .325”-.058”-1,5mm SEMI CHISEL",,.325,1.5,1840.0,,,.325-1.5-1840,0.0,
Αλυσίδες Ρολλά,Archer,,321TB063-100R,TB-063 (STANDARD) .325”-.063”-1.6mm SEMI CHISEL,,,TB-063 (STANDARD) .325”-.063”-1.6mm SEMI CHISEL,,.325,1.6,1840.0,,,.325-1.6-1840,0.0,
Αλυσίδες Ρολλά,Kaiser,1C0Q100Y,031C0Q-100Y,"Αλυσίδα Kaiser 0,325"" 1,3mm Ρολό 100ft",,,"Αλυσίδα Kaiser 0,325"" 1,3mm Ρολό 100ft",,.325,1.3,1848.0,3048.0,1200.0,.325-1.3-1848,1.0,
Αλυσίδες Ρολλά,Kaiser,2C0Q100Y,032C0Q-100Y,"Αλυσίδα Kaiser 0,325"" 1,3mm Ρολό 100ft",,,"Αλυσίδα Kaiser 0,325"" 1,3mm Ρολό 100ft",,.325,1.3,1848.0,3048.0,1200.0,.325-1.3-1848,1.0,
Αλυσίδες Ρολλά,Kaiser,1C8Q100Y,031C8Q-100Y,"Αλυσίδα Kaiser 0,325"" 1,5mm Ρολό 100ft",,,"Αλυσίδα Kaiser 0,325"" 1,5mm Ρολό 100ft",,.325,1.5,1848.0,3048.0,1200.0,.325-1.5-1848,1.0,
Αλυσίδες Ρολλά,Kaiser,2C8Q100Y,032C8Q-100Y,"Αλυσίδα Kaiser 0,325"" 1,5mm Ρολό 100ft",,,"Αλυσίδα Kaiser 0,325"" 1,5mm Ρολό 100ft",,.325,1.5,1848.0,3048.0,1200.0,.325-1.5-1848,1.0,
Αλυσίδες Ρολλά,OREGON,20BPX100R,0320BPX-100R,Αλυσίδα Oregon 20BPX σε Ρολό 100 Ποδιών,,,Αλυσίδα Oregon 20BPX σε Ρολό 100 Ποδιών,,.325,1.3,1848.0,3048.0,1200.0,.325-1.3-1848,0.0,
Αλυσίδες Ρολλά,OREGON,20LGX100R,0320LGX-100R,Αλυσίδα Oregon 20LGX σε Ρολό 100 Ποδιών,,,Αλυσίδα Oregon 20LGX σε Ρολό 100 Ποδιών,,.325,1.3,1848.0,3048.0,1200.0,.325-1.3-1848,0.0,
Αλυσίδες Ρολλά,OREGON,20LPX100R,0320LPX-100R,Αλυσίδα Oregon 20LPX σε Ρολό 100 Ποδιών,,,Αλυσίδα Oregon 20LPX σε Ρολό 100 Ποδιών,,.325,1.3,1848.0,3048.0,1200.0,.325-1.3-1848,0.0,
Αλυσίδες Ρολλά,OREGON,21BPX100R,0321BPX-100R,Αλυσίδα Oregon 21BPX σε Ρολό 100 Ποδιών,,,Αλυσίδα Oregon 21BPX σε Ρολό 100 Ποδιών,,.325,1.5,1848.0,3048.0,1200.0,.325-1.5-1848,0.0,
Αλυσίδες Ρολλά,OREGON,21LGX100R,0321LGX-100R,Αλυσίδα Oregon 21LGX σε Ρολό 100 Ποδιών,,,Αλυσίδα Oregon 21LGX σε Ρολό 100 Ποδιών,,.325,1.5,1848.0,3048.0,1200.0,.325-1.5-1848,0.0,
Αλυσίδες Ρολλά,OREGON,21LPX100R,0321LPX-100R,Αλυσίδα Oregon 21LPX σε Ρολό 100 Ποδιών,,,Αλυσίδα Oregon 21LPX σε Ρολό 100 Ποδιών,,.325,1.5,1848.0,3048.0,1200.0,.325-1.5-1848,0.0,
Αλυσίδες Ρολλά,OREGON,22BPX100R,0322BPX-100R,Αλυσίδα Oregon 22BPX σε Ρολό 100 Ποδιών,,,Αλυσίδα Oregon 22BPX σε Ρολό 100 Ποδιών,,.325,1.6,1848.0,3048.0,1200.0,.325-1.6-1848,0.0,
Αλυσίδες Ρολλά,OREGON,22LGX100R,0322LGX-100R,Αλυσίδα Oregon 22LGX σε Ρολό 100 Ποδιών,,,Αλυσίδα Oregon 22LGX σε Ρολό 100 Ποδιών,,.325,1.6,1848.0,3048.0,1200.0,.325-1.6-1848,0.0,
Αλυσίδες Ρολλά,OREGON,95TXL100R,0395TXL-100R,Αλυσίδα Oregon 95TXL σε Ρολό 100 Ποδιών,,,Αλυσίδα Oregon 95TXL σε Ρολό 100 Ποδιών,,.325,1.3,1640.0,3048.0,1200.0,.325-1.3-1640,0.0,
Αλυσίδες Ρολλά,OREGON,M21LPX025R,03M21LPX-25R,Αλυσίδα Oregon M21LPX σε Ρολό 25 Ποδιών,,,Αλυσίδα Oregon M21LPX σε Ρολό 25 Ποδιών,,.325,1.3,,762.0,300.0,Undefined,0.0,
Αλυσίδες Ρολλά,Oleo mac,GEP539512089,GEP539512089,"ΡΟΛΟ ΑΛΥΣΙΔΑΣ 100FT OLEOMAC .325 1,3mm(.050) SC LO",,,"ΡΟΛΟ ΑΛΥΣΙΔΑΣ 100FT OLEOMAC .325 1,3mm(.050) SC LO",,.325,1.3,,,,Undefined,1.0,
Αλυσίδες Ρολλά,Oleo mac,Gep539512090,Gep539512090,"Ρολο αλυσίδας 100ft oleomac .325 1,5mm(.058) sc lo",,,"Ρολο αλυσίδας 100ft oleomac .325 1,5mm(.058) sc lo",,.325,1.5,,,,Undefined,1.0,
Αλυσίδες Ρολλά,HUSQVARNA,585641101,03585.6411.01,"Ρολό Αλυσίδας X-Cut Husqvarna C33 100"" 0.325'' (1,3mm)",,,"Ρολό Αλυσίδας X-Cut Husqvarna C33 100"" 0.325'' (1,3mm)",,.325,1.3,1848.0,3048.0,1200.0,.325-1.3-1848,1.0,
Αλυσίδες Ρολλά,HUSQVARNA,585639501,03585.6395.01,"Ρολό Αλυσίδας X-Cut Husqvarna S35G 100"" 0.325"" (1,5 mm)",,,"Ρολό Αλυσίδας X-Cut Husqvarna S35G 100"" 0.325"" (1,5 mm)",,.325,1.5,1848.0,3048.0,1200.0,.325-1.5-1848,1.0,
Αλυσίδες Ρολλά,HUSQVARNA,581643101,03581.6431.01,"Ρολό Αλυσίδας X-Cut Husqvarna SP33G 100"" 0.325"" (1,3mm)",,,"Ρολό Αλυσίδας X-Cut Husqvarna SP33G 100"" 0.325"" (1,3mm)",,.325,1.3,1848.0,3048.0,1200.0,.325-1.3-1848,1.0,
Αλυσίδες Ρολλά,,,122145,"B3EP- .404’’ – (1,6mm-372DL) 25FT",,,"B3EP- .404’’ – (1,6mm-372DL) 25FT",,.404,1.6,,,,Undefined,,
Αλυσίδες Ρολλά,OREGON,18HX100R,0318HX100R,Αλυσίδα Oregon 18HX σε Ρολό 100 Ποδιών,,,Αλυσίδα Oregon 18HX σε Ρολό 100 Ποδιών,,.404,2,,3048.0,1200.0,Undefined,0.0,
Αλυσίδες Ρολλά,OREGON,59ACL100R,0359AC-100R,Αλυσίδα Oregon 59AC σε Ρολό 100 Ποδιών,,,Αλυσίδα Oregon 59AC σε Ρολό 100 Ποδιών,,.404,1.6,1485.0,3048.0,1200.0,.404-1.6-1485,0.0,
Αλυσίδες Ρολλά,Hyundai,,HSCR40s,"HYUNDAI ΣΕ ΡΟΛΛΑ HSCR40s, 1/4”, 1,1, 598 (2τεμ)",,,"HYUNDAI ΣΕ ΡΟΛΛΑ HSCR40s, 1/4”, 1,1, 598 (2τεμ)",,1/4,1.1,598.0,,,1/4-1.1-598,0.0,
Αλυσίδες Ρολλά,,,321K043-100R,K-043 (STANDARD) 1/4”-.043”-1.1mm SEMI CHISEL,,,K-043 (STANDARD) 1/4”-.043”-1.1mm SEMI CHISEL,,1/4,1.1,2400.0,,,1/4-1.1-2400,,
Αλυσίδες Ρολλά,Agromex,,321KM043-100R,KM-043 (ΜΙΝΙ) 1/4”-.043”-1.1mm SEMI CHISEL,,,KM-043 (ΜΙΝΙ) 1/4”-.043”-1.1mm SEMI CHISEL,,1/4,1.1,2400.0,,,1/4-1.1-2400,0.0,
Αλυσίδες Ρολλά,Kaiser,4A4Q100Y,034A4Q-100Y,"Αλυσίδα κλαδευτική Kaiser 1/4"" 1,1mm Ρολό 100ft",,,"Αλυσίδα κλαδευτική Kaiser 1/4"" 1,1mm Ρολό 100ft",,1/4,1.1,,3048.0,1200.0,Undefined,1.0,
Αλυσίδες Ρολλά,Kaiser,4A4Q25Y,034A4Q-25Y,"Αλυσίδα κλαδευτική Kaiser 1/4"" 1,1mm Ρολό 25ft",,,"Αλυσίδα κλαδευτική Kaiser 1/4"" 1,1mm Ρολό 25ft",,1/4,1.1,,762.0,300.0,Undefined,1.0,
Αλυσίδες Ρολλά,Oleo mac,Gep539512087,Gep539512087,"Ρολο αλυσίδας 25ft oleomac 1/4 1,1mm(.043) mc",,,"Ρολο αλυσίδας 25ft oleomac 1/4 1,1mm(.043) mc",,1/4,1.1,,,,Undefined,1.0,
Αλυσίδες Ρολλά,,,321TK043-100R,ΤK-043 (STANDARD) 1/4”-.043”-1.1mm SEMI CHISEL,,,ΤK-043 (STANDARD) 1/4”-.043”-1.1mm SEMI CHISEL,,1/4,1.1,2400.0,,,1/4-1.1-2400,,
Αλυσίδες Ρολλά,,,321TKMS043-100R,ΤKMS-043 (ΜΙΝΙ) (BL) 1/4”-.043”-1.1mm SEMI CHISEL,,,ΤKMS-043 (ΜΙΝΙ) (BL) 1/4”-.043”-1.1mm SEMI CHISEL,,1/4,1.1,2400.0,,,1/4-1.1-2400,,
Αλυσίδες Ρολλά,Hyundai,,HSCR41s,"HYUNDAI ΣΕ ΡΟΛΛΑ HSCR41s, 1/4”, 1,3, 598 (2τεμ)",,,"HYUNDAI ΣΕ ΡΟΛΛΑ HSCR41s, 1/4”, 1,3, 598 (2τεμ)",,"1/4""",1.3,598.0,,,"1/4""-1.3-598",0.0,
Αλυσίδες Ρολλά,,,321KS050-100R,KS-050 (BL) 1/4”-.050”-1.3mm SEMI CHISEL-BL,,,KS-050 (BL) 1/4”-.050”-1.3mm SEMI CHISEL-BL,,"1/4""",1.3,2400.0,,,"1/4""-1.3-2400",,
Αλυσίδες Ρολλά,,,321TKS050-100R,"TKS-050 (BL) 1/4”- .050”-1,3mm SEMI CHISEL",,,"TKS-050 (BL) 1/4”- .050”-1,3mm SEMI CHISEL",,"1/4""",1.3,2400.0,,,"1/4""-1.3-2400",,
Αλυσίδες Ρολλά,Kaiser,1A0Q-100R,031A0Q-100R,"Αλυσίδα Kaiser 1/4"" 1.3mm σε Ρολό 100 ποδιών",,,"Αλυσίδα Kaiser 1/4"" 1.3mm σε Ρολό 100 ποδιών",,"1/4""",1.3,,3048.0,1200.0,Undefined,1.0,
Αλυσίδες Ρολλά,OREGON,25AP100R,0325AP-100R,Αλυσίδα Oregon 25AP σε Ρολό 100 Ποδιών,,,Αλυσίδα Oregon 25AP σε Ρολό 100 Ποδιών,,"1/4""",1.3,2392.0,3048.0,1200.0,"1/4""-1.3-2392",0.0,
Αλυσίδες Ρολλά,Kaiser,1A0Q100Y,031A0Q-100Y,"Αλυσίδα κλαδευτική Kaiser 1/4"" 1,3mm Ρολό 100ft",,,"Αλυσίδα κλαδευτική Kaiser 1/4"" 1,3mm Ρολό 100ft",,"1/4""",1.3,2392.0,3048.0,1200.0,"1/4""-1.3-2392",1.0,
Αλυσίδες Ρολλά,Kaiser,1A0Q25Y,031A0Q-25Y,"Αλυσίδα κλαδευτική Kaiser 1/4"" 1,3mm Ρολό 25ft",,,"Αλυσίδα κλαδευτική Kaiser 1/4"" 1,3mm Ρολό 25ft",,"1/4""",1.3,,762.0,300.0,Undefined,1.0,
Αλυσίδες Ρολλά,HUSQVARNA,503305401,03503.3054.01,"Ρολό Husqvarna H00 100"" 1/4""- 1,3mm",,,"Ρολό Husqvarna H00 100"" 1/4""- 1,3mm",,"1/4""",1.3,2392.0,3048.0,1200.0,"1/4""-1.3-2392",1.0,
Αλυσίδες Ρολλά,,,321A050-100R,"A-050 (STANDARD) 3/8”-.050”-1,3mm SEMI CHISEL",,,"A-050 (STANDARD) 3/8”-.050”-1,3mm SEMI CHISEL",,3/8,1.3,1640.0,,,3/8-1.3-1640,,
Αλυσίδες Ρολλά,,,321A058-100R,"A-058 (STANDARD) 3/8”-.058”-1,5mm SEMI CHISEL",,,"A-058 (STANDARD) 3/8”-.058”-1,5mm SEMI CHISEL",,3/8,1.5,1640.0,,,3/8-1.5-1640,,
Αλυσίδες Ρολλά,,,122120,"A1EP-3/8’’- (1,3mm-1640DL) 100FT",,,"A1EP-3/8’’- (1,3mm-1640DL) 100FT",,3/8,1.3,,,,Undefined,,
Αλυσίδες Ρολλά,Hyundai,,HSCR72s,"HYUNDAI ΣΕ ΡΟΛΛΑ HSCR72s, 3/8”, 1,3, 1640 (2τεμ)",,,"HYUNDAI ΣΕ ΡΟΛΛΑ HSCR72s, 3/8”, 1,3, 1640 (2τεμ)",,3/8,1.3,1640.0,,,3/8-1.3-1640,0.0,
Αλυσίδες Ρολλά,Hyundai,,HSCR73s,"HYUNDAI ΣΕ ΡΟΛΛΑ HSCR73s, 3/8”, 1,5, 1640 (2τεμ)",,,"HYUNDAI ΣΕ ΡΟΛΛΑ HSCR73s, 3/8”, 1,5, 1640 (2τεμ)",,3/8,1.5,1640.0,,,3/8-1.5-1640,0.0,
Αλυσίδες Ρολλά,Hyundai,,HSCR75s,"HYUNDAI ΣΕ ΡΟΛΛΑ HSCR75s, 3/8”, 1,6, 1640 (2τεμ)",,,"HYUNDAI ΣΕ ΡΟΛΛΑ HSCR75s, 3/8”, 1,6, 1640 (2τεμ)",,3/8,"1,6",1640.0,,,"3/8-1,6-1640",0.0,
